Time;A_P1;A_P2;B;C;D;E;F
0.009210;1.110389;2.430030;-12.094508;3.625602;-1.973833;-6.759150;-48.921195
0.009240;2.127739;1.245684;-6.020353;3.261272;-3.290214;-22.593316;-109.233838
0.009270;3.425643;-0.465173;0.951112;2.129534;-4.473604;-32.489769;-151.545506
0.009300;4.145061;-2.526868;7.524590;0.547527;-5.306860;-37.530147;-157.223640
0.009330;4.131172;-4.763777;12.784803;-1.247685;-5.752185;-34.681244;-125.375509
0.009360;4.055077;-6.585491;15.572305;-2.640270;-5.764177;-23.247101;-64.164351
0.009390;4.081804;-8.088415;15.087096;-3.419883;-5.564688;-10.187698;5.236825
0.009420;4.298549;-9.081305;11.390538;-3.717916;-5.223250;0.777764;68.634557
0.009450;4.516736;-9.086583;5.038032;-3.136473;-4.648527;10.465046;110.409448
0.009480;4.501385;-7.942483;-3.132427;-2.121232;-3.670183;17.677808;108.679786
0.009510;4.427705;-5.791983;-10.871825;-1.258212;-3.039221;20.427728;73.334177
0.009540;4.468876;-2.668226;-16.334115;-0.826674;-2.391113;18.452371;40.312493
0.009570;3.686485;0.575389;-18.818528;0.162101;-1.758576;12.431816;18.168363
